user_id,total_sessions,avg_session_length,total_purchases,total_levels,last_login,first_login,days_since_last_login,days_active,sessions_per_week,churned,R_score,F_score,M_score,RFM_score,engagement_score,purchase_rate,level_rate,is_high_spender,is_highly_active,cluster,segment
70,13,37.93076923076923,68,132,2024-12-15,2024-01-05,16,346,0.26,0,4.0,4.0,5.0,13.0,26.41,5.231,10.154,1,0,2,High Engagement
71,11,32.67272727272728,26,103,2024-11-12,2024-01-01,49,317,0.24,1,2.0,3.0,2.0,7.0,21.68,2.364,9.364,0,0,0,At-Risk
72,13,36.06923076923077,44,109,2024-10-01,2024-01-31,91,245,0.37,1,1.0,5.0,4.0,10.0,23.86,3.385,8.385,0,1,2,High Engagement
73,6,28.200000000000003,4,73,2024-11-12,2024-01-30,49,288,0.15,1,2.0,1.0,1.0,4.0,16.8,0.667,12.167,0,0,0,At-Risk
74,12,25.84166666666667,53,127,2024-12-30,2024-01-24,1,342,0.25,0,5.0,3.0,4.0,12.0,22.22,4.417,10.583,1,0,2,High Engagement
75,7,30.0,10,84,2024-08-23,2024-01-05,130,232,0.21,1,1.0,2.0,1.0,4.0,18.74,1.429,12.0,0,0,0,At-Risk
76,9,38.41111111111111,35,79,2024-12-17,2024-01-03,14,350,0.18,0,4.0,1.0,3.0,8.0,20.62,3.889,8.778,0,0,1,Casual
77,9,13.377777777777778,22,82,2024-10-06,2024-02-02,86,248,0.25,1,1.0,3.0,2.0,6.0,13.71,2.444,9.111,0,0,0,At-Risk
78,10,28.7,7,75,2024-12-15,2024-01-16,16,335,0.21,0,4.0,2.0,1.0,7.0,17.4,0.7,7.5,0,0,0,At-Risk
79,8,35.25,53,85,2024-10-26,2024-01-03,66,298,0.19,1,1.0,2.0,4.0,7.0,20.35,6.625,10.625,1,0,3,High Spender
80,13,29.49230769230769,76,99,2024-10-22,2024-01-13,70,284,0.32,1,1.0,5.0,5.0,11.0,20.62,5.846,7.615,1,1,3,High Spender
81,14,36.80714285714286,32,153,2024-12-17,2024-01-25,14,328,0.3,0,4.0,4.0,3.0,11.0,28.46,2.286,10.929,0,1,2,High Engagement
82,12,30.45,36,156,2024-12-04,2024-01-01,27,339,0.25,0,3.0,3.0,3.0,9.0,26.67,3.0,13.0,0,0,2,High Engagement
83,11,32.74545454545454,30,56,2024-12-16,2024-02-16,15,305,0.25,0,4.0,3.0,2.0,9.0,16.76,2.727,5.091,0,0,0,At-Risk
84,6,22.5,23,45,2024-12-28,2024-04-20,3,253,0.17,0,5.0,1.0,2.0,8.0,12.2,3.833,7.5,0,0,0,At-Risk
85,12,22.458333333333332,54,84,2024-12-14,2024-01-02,17,348,0.24,0,4.0,3.0,4.0,11.0,16.6,4.5,7.0,1,0,3,High Spender
86,12,35.275,25,131,2024-10-16,2024-03-10,76,221,0.38,1,1.0,5.0,2.0,8.0,25.99,2.083,10.917,0,1,2,High Engagement
87,10,35.08,40,91,2024-12-24,2024-01-13,7,347,0.2,0,5.0,2.0,3.0,10.0,20.97,4.0,9.1,0,0,3,High Spender
88,7,49.885714285714286,25,71,2024-10-31,2024-01-30,61,276,0.18,1,1.0,1.0,2.0,4.0,23.21,3.571,10.143,0,0,1,Casual
89,6,27.4,45,51,2024-12-30,2024-01-06,1,360,0.12,0,5.0,1.0,4.0,10.0,14.11,7.5,8.5,0,0,3,High Spender
90,10,27.940000000000005,23,96,2024-11-16,2024-01-11,45,311,0.23,1,2.0,3.0,2.0,7.0,19.48,2.3,9.6,0,0,0,At-Risk
91,15,40.0,88,172,2024-12-08,2024-03-08,23,276,0.38,0,3.0,5.0,5.0,13.0,31.75,5.867,11.467,1,1,2,High Engagement
92,9,35.86666666666667,16,95,2024-12-06,2024-01-13,25,329,0.19,0,3.0,2.0,1.0,6.0,21.59,1.778,10.556,0,0,0,At-Risk
93,9,21.299999999999997,24,93,2024-10-16,2024-01-14,76,277,0.23,1,1.0,3.0,2.0,6.0,17.17,2.667,10.333,0,0,0,At-Risk
94,12,35.775,45,105,2024-11-22,2024-01-31,39,297,0.28,1,2.0,4.0,4.0,10.0,22.98,3.75,8.75,0,0,2,High Engagement
95,11,30.30909090909091,38,97,2024-12-07,2024-03-24,24,259,0.3,0,3.0,4.0,3.0,10.0,20.58,3.455,8.818,0,1,2,High Engagement
96,8,25.85,26,72,2024-10-18,2024-03-15,74,218,0.26,1,1.0,4.0,2.0,7.0,16.43,3.25,9.0,0,0,0,At-Risk
97,8,24.049999999999997,32,79,2024-12-16,2024-05-07,15,224,0.25,0,4.0,3.0,3.0,10.0,16.59,4.0,9.875,0,0,0,At-Risk
98,10,34.660000000000004,33,131,2024-12-21,2024-01-21,10,336,0.21,0,4.0,2.0,3.0,9.0,25.12,3.3,13.1,0,0,1,Casual
99,11,27.536363636363635,42,136,2024-12-18,2024-01-24,13,330,0.23,0,4.0,3.0,4.0,11.0,23.6,3.818,12.364,0,0,2,High Engagement
100,13,42.41538461538461,62,106,2024-12-29,2024-01-27,2,338,0.27,0,5.0,4.0,5.0,14.0,25.04,4.769,8.154,1,0,2,High Engagement
101,10,23.31,18,92,2024-12-13,2024-02-20,18,298,0.23,0,4.0,3.0,1.0,8.0,17.67,1.8,9.2,0,0,0,At-Risk
102,13,33.86923076923077,54,61,2024-12-01,2024-01-27,30,310,0.29,1,3.0,4.0,4.0,11.0,17.79,4.154,4.692,1,1,3,High Spender
103,4,52.825,22,37,2024-12-02,2024-02-09,29,298,0.09,0,3.0,1.0,2.0,6.0,20.13,5.5,9.25,0,0,1,Casual
104,7,35.300000000000004,90,88,2024-10-31,2024-01-05,61,301,0.16,1,1.0,1.0,5.0,7.0,20.56,12.857,12.571,1,0,3,High Spender
105,10,19.22,4,97,2024-12-18,2024-02-06,13,317,0.22,0,4.0,2.0,1.0,7.0,16.93,0.4,9.7,0,0,0,At-Risk
106,9,36.31111111111111,55,77,2024-09-12,2024-01-12,110,245,0.26,1,1.0,4.0,4.0,9.0,20.1,6.111,8.556,1,0,3,High Spender
107,8,28.9625,36,81,2024-10-06,2024-01-11,86,270,0.21,1,1.0,2.0,3.0,6.0,18.12,4.5,10.125,0,0,0,At-Risk
108,15,37.46666666666667,48,180,2024-12-16,2024-01-15,15,337,0.31,0,4.0,5.0,4.0,13.0,31.56,3.2,12.0,0,1,2,High Engagement
109,12,40.233333333333334,31,78,2024-11-30,2024-01-05,31,331,0.25,1,3.0,3.0,3.0,9.0,21.34,2.583,6.5,0,0,1,Casual
110,18,21.033333333333335,63,145,2024-12-20,2024-01-15,11,341,0.37,0,4.0,5.0,5.0,14.0,23.16,3.5,8.056,1,1,2,High Engagement
111,9,30.95555555555556,34,84,2024-12-16,2024-02-21,15,300,0.21,0,4.0,2.0,3.0,9.0,19.03,3.778,9.333,0,0,0,At-Risk
112,11,32.32727272727273,9,105,2024-10-01,2024-02-07,91,238,0.32,1,1.0,5.0,1.0,7.0,22.11,0.818,9.545,0,1,1,Casual
113,9,24.54444444444444,62,54,2024-12-25,2024-01-12,6,349,0.18,0,5.0,1.0,5.0,11.0,13.81,6.889,6.0,1,0,3,High Spender
114,9,21.044444444444444,51,91,2024-10-20,2024-02-15,72,249,0.25,1,1.0,3.0,4.0,8.0,16.96,5.667,10.111,0,0,3,High Spender
115,12,41.825,33,106,2024-12-22,2024-05-08,9,229,0.37,0,5.0,5.0,3.0,13.0,25.26,2.75,8.833,0,1,2,High Engagement
116,12,38.416666666666664,77,111,2024-12-12,2024-01-03,19,345,0.24,0,4.0,3.0,5.0,12.0,24.25,6.417,9.25,1,0,3,High Spender
117,9,30.91111111111111,40,89,2024-11-25,2024-02-09,36,291,0.22,1,2.0,2.0,3.0,7.0,19.59,4.444,9.889,0,0,3,High Spender
118,3,22.3,6,9,2024-07-14,2024-01-11,170,186,0.11,1,1.0,1.0,1.0,3.0,8.08,2.0,3.0,0,0,0,At-Risk
119,9,27.77777777777778,32,100,2024-11-03,2024-01-11,58,298,0.21,1,2.0,2.0,3.0,7.0,19.77,3.556,11.111,0,0,0,At-Risk
120,7,41.457142857142856,3,61,2024-09-26,2024-01-08,96,263,0.19,1,1.0,2.0,1.0,4.0,19.66,0.429,8.714,0,0,0,At-Risk
121,16,42.8125,131,143,2024-12-18,2024-01-25,13,329,0.34,0,4.0,5.0,5.0,14.0,29.36,8.188,8.938,1,1,2,High Engagement
122,13,44.63076923076923,85,135,2024-12-08,2024-01-23,23,321,0.28,0,3.0,4.0,5.0,12.0,28.82,6.538,10.385,1,0,2,High Engagement
123,5,57.6,44,75,2024-11-14,2024-02-03,47,286,0.12,1,2.0,1.0,4.0,7.0,25.71,8.8,15.0,0,0,3,High Spender
124,4,72.175,7,58,2024-11-23,2024-05-11,38,197,0.14,1,2.0,1.0,1.0,4.0,28.36,1.75,14.5,0,0,1,Casual
125,10,17.740000000000002,72,69,2024-12-26,2024-02-11,5,320,0.22,0,5.0,2.0,5.0,12.0,13.52,7.2,6.9,1,0,3,High Spender
126,10,39.75,18,108,2024-11-23,2024-04-19,38,219,0.32,1,2.0,5.0,1.0,8.0,24.65,1.8,10.8,0,1,1,Casual
127,13,31.06153846153846,17,130,2024-11-28,2024-02-06,33,297,0.31,1,3.0,5.0,1.0,9.0,24.34,1.308,10.0,0,1,2,High Engagement
128,9,56.55555555555556,17,83,2024-12-23,2024-01-25,8,334,0.19,0,5.0,2.0,1.0,8.0,26.53,1.889,9.222,0,0,1,Casual
129,8,27.3375,22,83,2024-10-17,2024-01-28,75,264,0.21,1,1.0,2.0,2.0,5.0,17.84,2.75,10.375,0,0,0,At-Risk
130,7,30.12857142857143,15,74,2024-12-18,2024-01-12,13,342,0.14,0,4.0,1.0,1.0,6.0,17.44,2.143,10.571,0,0,0,At-Risk
131,4,46.675,9,27,2024-12-16,2024-03-15,15,277,0.1,0,4.0,1.0,1.0,6.0,17.26,2.25,6.75,0,0,0,At-Risk
132,15,39.86,48,163,2024-12-08,2024-01-25,23,319,0.33,0,3.0,5.0,4.0,12.0,30.56,3.2,10.867,0,1,2,High Engagement
133,13,40.8,28,138,2024-12-29,2024-01-01,2,364,0.25,0,5.0,3.0,2.0,10.0,27.87,2.154,10.615,0,0,1,Casual
134,11,30.536363636363635,5,89,2024-12-23,2024-01-08,8,351,0.22,0,5.0,2.0,1.0,8.0,19.48,0.455,8.091,0,0,0,At-Risk
135,9,50.96666666666667,41,72,2024-12-11,2024-01-03,20,344,0.18,0,3.0,1.0,3.0,7.0,23.64,4.556,8.0,0,0,1,Casual
136,6,30.816666666666663,5,76,2024-10-13,2024-01-16,79,272,0.15,1,1.0,1.0,1.0,3.0,17.9,0.833,12.667,0,0,0,At-Risk
137,10,66.78999999999999,71,75,2024-12-07,2024-01-19,24,324,0.22,0,3.0,2.0,5.0,10.0,28.87,7.1,7.5,1,0,1,Casual
138,16,29.675,32,191,2024-12-22,2024-01-03,9,355,0.32,0,5.0,5.0,3.0,13.0,30.43,2.0,11.938,0,1,2,High Engagement
139,8,44.5,25,84,2024-11-29,2024-01-24,32,311,0.18,1,3.0,1.0,2.0,6.0,22.97,3.125,10.5,0,0,1,Casual
140,12,33.06666666666667,47,112,2024-10-02,2024-01-01,90,276,0.3,1,1.0,4.0,4.0,9.0,22.99,3.917,9.333,0,1,2,High Engagement
141,9,20.37777777777778,29,76,2024-12-16,2024-02-13,15,308,0.2,0,4.0,2.0,2.0,8.0,14.97,3.222,8.444,0,0,0,At-Risk
142,8,16.6,22,56,2024-12-03,2024-01-08,28,331,0.17,0,3.0,1.0,2.0,6.0,11.6,2.75,7.0,0,0,0,At-Risk
143,9,28.633333333333333,20,55,2024-12-22,2024-01-18,9,340,0.19,0,5.0,2.0,2.0,9.0,15.18,2.222,6.111,0,0,0,At-Risk
144,8,61.5,17,79,2024-12-16,2024-03-14,15,278,0.2,0,4.0,2.0,1.0,7.0,27.62,2.125,9.875,0,0,1,Casual
145,6,54.21666666666667,32,42,2024-09-29,2024-01-05,93,269,0.16,1,1.0,1.0,3.0,5.0,21.36,5.333,7.0,0,0,1,Casual
146,10,47.79,47,104,2024-12-30,2024-03-10,1,296,0.24,0,5.0,3.0,4.0,12.0,26.32,4.7,10.4,0,0,1,Casual
147,6,42.73333333333334,17,62,2024-12-05,2024-01-30,26,311,0.14,0,3.0,1.0,1.0,5.0,19.95,2.833,10.333,0,0,0,At-Risk
148,13,28.715384615384615,57,133,2024-11-26,2024-01-19,35,313,0.29,1,2.0,4.0,4.0,10.0,23.87,4.385,10.231,1,1,2,High Engagement
149,11,24.536363636363635,10,85,2024-10-07,2024-04-07,85,184,0.42,1,1.0,5.0,1.0,7.0,18.05,0.909,7.727,0,1,0,At-Risk
150,5,30.2,25,32,2024-10-31,2024-06-21,61,133,0.26,1,1.0,4.0,2.0,7.0,13.49,5.0,6.4,0,0,0,At-Risk
151,11,50.45454545454545,66,111,2024-12-08,2024-01-15,23,329,0.23,0,3.0,3.0,5.0,11.0,27.82,6.0,10.091,1,0,2,High Engagement
152,6,20.75,23,54,2024-07-19,2024-04-16,165,95,0.44,1,1.0,5.0,2.0,8.0,13.71,3.833,9.0,0,1,0,At-Risk
153,10,34.05,44,81,2024-11-24,2024-02-10,37,289,0.24,1,2.0,3.0,4.0,9.0,19.76,4.4,8.1,0,0,3,High Spender
154,14,33.16428571428572,95,147,2024-11-18,2024-01-25,43,299,0.33,1,2.0,5.0,5.0,12.0,26.85,6.786,10.5,1,1,2,High Engagement
155,9,35.788888888888884,33,65,2024-11-25,2024-01-29,36,302,0.21,1,2.0,2.0,3.0,7.0,18.47,3.667,7.222,0,0,0,At-Risk
156,10,38.81,31,86,2024-11-18,2024-02-02,43,291,0.24,1,2.0,3.0,3.0,8.0,21.72,3.1,8.6,0,0,1,Casual
157,13,26.86923076923077,19,108,2024-11-07,2024-01-31,54,282,0.32,1,2.0,5.0,2.0,9.0,20.79,1.462,8.308,0,1,0,At-Risk
158,8,45.6,4,100,2024-10-06,2024-02-15,86,235,0.24,1,1.0,3.0,1.0,5.0,25.24,0.5,12.5,0,0,1,Casual
159,4,34.35,20,21,2024-11-02,2024-02-24,59,253,0.11,1,2.0,1.0,2.0,5.0,12.97,5.0,5.25,0,0,0,At-Risk
160,16,33.46875,60,163,2024-12-07,2024-01-02,24,341,0.33,0,3.0,5.0,5.0,13.0,28.64,3.75,10.188,1,1,2,High Engagement
161,10,29.25,20,87,2024-12-23,2024-01-04,8,355,0.2,0,5.0,2.0,2.0,9.0,18.8,2.0,8.7,0,0,0,At-Risk
162,9,24.766666666666666,28,111,2024-11-01,2024-01-16,60,291,0.22,1,1.0,2.0,2.0,5.0,20.08,3.111,12.333,0,0,0,At-Risk
163,10,83.08,26,103,2024-12-20,2024-01-06,11,350,0.2,0,4.0,2.0,2.0,8.0,36.64,2.6,10.3,0,0,1,Casual
164,13,24.807692307692307,29,83,2024-12-02,2024-01-23,29,315,0.29,0,3.0,4.0,2.0,9.0,17.4,2.231,6.385,0,1,0,At-Risk
165,9,38.62222222222223,27,78,2024-12-14,2024-01-01,17,349,0.18,0,4.0,1.0,2.0,7.0,20.58,3.0,8.667,0,0,0,At-Risk
166,10,42.690000000000005,86,111,2024-12-16,2024-01-27,15,325,0.22,0,4.0,2.0,5.0,11.0,25.45,8.6,11.1,1,0,3,High Spender
167,11,31.00909090909091,14,140,2024-12-21,2024-01-09,10,348,0.22,0,4.0,2.0,1.0,7.0,25.02,1.273,12.727,0,0,1,Casual
168,9,27.1,65,96,2024-11-09,2024-02-10,52,274,0.23,1,2.0,3.0,5.0,10.0,19.23,7.222,10.667,1,0,3,High Spender
169,10,49.39,34,122,2024-10-29,2024-01-03,63,301,0.23,1,1.0,3.0,3.0,7.0,28.67,3.4,12.2,0,0,1,Casual
170,10,36.67,20,96,2024-11-24,2024-01-10,37,320,0.22,1,2.0,2.0,2.0,6.0,22.06,2.0,9.6,0,0,1,Casual
171,12,25.191666666666663,58,89,2024-12-10,2024-01-01,21,345,0.24,0,3.0,3.0,5.0,11.0,17.95,4.833,7.417,1,0,3,High Spender
172,10,56.2,41,129,2024-12-22,2024-01-16,9,342,0.2,0,5.0,2.0,3.0,10.0,31.33,4.1,12.9,0,0,1,Casual
173,15,34.26,32,174,2024-11-30,2024-01-21,31,315,0.33,1,3.0,5.0,3.0,11.0,30.04,2.133,11.6,0,1,2,High Engagement
174,10,49.93,38,95,2024-10-01,2024-01-14,91,262,0.27,1,1.0,4.0,3.0,8.0,26.13,3.8,9.5,0,0,1,Casual
175,19,30.347368421052632,63,219,2024-11-28,2024-01-23,33,311,0.43,1,3.0,5.0,5.0,13.0,34.04,3.316,11.526,1,1,2,High Engagement
176,8,33.975,9,68,2024-11-26,2024-03-27,35,245,0.23,1,2.0,3.0,1.0,6.0,18.32,1.125,8.5,0,0,0,At-Risk
